origem,slug,missao,tamanho,organizacao,integrador_aivt,custo,valor_num,moeda,valor_suspeito,custo_por_satelite,valor_num_por_satelite,financiador,trecho,url_fonte,categoria_coleta,no_recorte,pais,data_lancamento
tabela CubeSat Costs,aerocube-15,AeroCube-15,3U,Aerospace Corporation,In-house,$4.1 million for the whole program.,4100000,USD,,,,US Air Force Space and Missile Systems Center,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4718&context=smallsat,A - sensoriamento remoto,sim,US,2019-11-02
tabela CubeSat Costs,aistechsat,AISTECHSAT (DANU) 2U,2U,Aistech,GomSpace,"$230,000 for the single CubeSat platform",230000,USD,,,,,,https://gomspace.com/news/aistech-places-order-at-the-sum-of-200000-wit.aspx,B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,Spain,x_cancelled
tabela CubeSat Costs,amber,Amber,6U,Horizon Technologies,AAC Clyde Space,"£4.6 million for a full turn-key solution including two satellites, launches, operations and data delivery.",4600000,GBP,,,,,,https://horizontechnologies.eu/aac-clyde-space-wins-4-6-mgbp-order-from-horizon-technologies/,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,not launched
tabela CubeSat Costs,iod-3,IOD Mission 3,6U,Horizon Technologies,AAC Clyde Space,"$1,880,000 for four 3U IOD Mission platforms and $265,000 to upgrade this into 6U",1880000,USD,,,,UK Satellite Applications Catapult,,https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-01-09
tabela CubeSat Costs,blackcat,BlackCAT,6U,Pennsylvania State University (Penn State),NanoAvionics,$5.8M,5800000,USD,,,,,,https://www.psu.edu/news/research/story/penn-state-astrophysicist-lead-58-million-nasa-cubesat-mission/,—,não,US,2026-01-11
tabela CubeSat Costs,bro-unseenlabs,BRO,6U,Unseenlabs,GomSpace,43 MSEK or $4.2M for 6 satellites.,43000000,SEK,,,,,,https://gomspace.com/news/gomspace-signs-contract-with-unseenlabs-to-de.aspx,C - sinais cooperativos (AIS/ADS-B/RF),sim,France,2026-06-12
tabela CubeSat Costs,buccaneer,Buccaneer,6U,Australian Defence Science and Technology Organisation,Inovor,$2.5M,2500000,USD,,,,Australian Defence Force,,https://www.criticalcomms.com.au/content/research/news/inovor-to-deliver-satellite-bus-for-buccaneer-project-1333916370#axzz66zQjL8U6,—,não,Australia,x_cancelled
tabela CubeSat Costs,ctos,CTOS,8U,Galaxia,In-house,$2.5 million,2500000,USD,,,,Defence Research and Development Canada (DRDC),,https://spaceq.ca/galaxia-lands-2-5m-drdc-contract-to-build-tactical-leo-satellite/,—,não,Canada,not launched
tabela CubeSat Costs,catsat,CatSat,6U,University of Arizona,In-house,$450000 for the GomSpace 6U platform.,450000,USD,,,,,,https://gomspace.com/news/gomspace-leads-development-of-a-teaming-agreement-.aspx,A(fraco) - câmera sem alvo declarado,não,US,2024-07-04
tabela CubeSat Costs,exoterra-cubesat,Exoterra CubeSat,12U,Exoterra Resource,In-house?,$2 million from NASA Tipping Point.,2000000,USD,,,,NASA,,https://www.nasa.gov/press-release/nasa-announces-new-tipping-point-partnerships-for-moon-and-mars-technologies,—,não,US,not launched
