nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
ASUSat 1,asusat-1,https://www.nanosats.eu/sat/asusat-1.html,2000-01-27,Was operational until 2000-01-28. 14 hours.,Was operational,A - sensoriamento remoto,sim,,,Problem in power system prevented the solar arrays from supplying power.,Arizona State University,US,6 kg,Educational space systems engineering and Earth imaging.
Munin,munin,https://www.nanosats.eu/sat/munin.html,2000-11-21,Was operational until 2001-02-12.,Was operational,A(fraco) - câmera sem alvo declarado,não,,,Likely to boot PROM failure after manual CPU reset.,Swedish Institute of Space Physics,Sweden,6 kg,Collect data on auroral activity to predict space weather.
AAUSAT 1,aausat1,https://www.nanosats.eu/sat/aausat1.html,2003-06-30,Was operational until 2003-09-22.,Was operational,A(fraco) - câmera sem alvo declarado,não,,,Battery degradation problems.,Aalborg University,,1U,Educational space systems engineering with ADCS and imaging.
TNS-0,tns-0,https://www.nanosats.eu/sat/tns-0.html,2005-02-28,Reentry 2005-08-30. Was operational until 2005-07-15.,"Reentered, Was operational",C - sinais cooperativos (AIS/ADS-B/RF),sim,,,Batteries were empty and burnt in atmosphere couple of months later.,Moscow Russian Scientific Research Institute,Russia,4.5 kg,Testing Globalstar constellation to operate satellite.
CUTE-1.7+APD,cute-17-apd,https://www.nanosats.eu/sat/cute-17-apd.html,2006-02-21,Reentry 2009-10-25. Was operational until 2006-03-16. Semi-operational until 2006-05-06 with beacons.,"Reentered, Was operational",—,não,,,"Most likely radiation damage, stopped receiving commands, beacon functioned longer,",Tokyo Institute of Technology,Japan,2U,Demonstration of PDA (Personal Digital Assistant) as an onboard computer and other experiments.
AeroCube-2,aerocube-2,https://www.nanosats.eu/sat/aerocube-2.html,2007-04-17,Was operational until 2007-04-18.,Was operational,A(fraco) - câmera sem alvo declarado,não,,,Solar charging problem.,Aerospace Corporation,US,1U,Demonstrate CubeSat platform technologies and CMOS camera.
CP4,cp4,https://www.nanosats.eu/sat/cp4.html,2007-04-17,Was operational until ? Unkown time (Official website),Was operational,—,não,,,C&DH processor lock-up issue.,California Polytechnic State University (Cal Poly),US,1U,Demonstrate CubeSat platform technologies and energy dissipation experiment. Backup model of CP2.
Delfi-C3,delfi-c3,https://www.nanosats.eu/sat/delfi-c3.html,2008-04-28,Reentry 2023-11-13. Was operational (Official news 2020-04-28 and last SatNOGS report with data from PE0SAT 2023-06-06 last checked on 2023-06-06),"Reentered, Operational",—,não,"For the time being, Delfi-C3 is still being heard every day. “It may not be healthy, but I get an email every day when our ground station has made contact with the satellite,” says Chris Verhoeven.",https://www.tudelft.nl/en/stories/articles/elderly-first-dutch-nanosatellite-celebrates-fifteenth-birthday,,Delft University of Technology,Netherlands,3U,"Educational space systems engineering, transponder for radio amateurs and demonstrate thin-film solar cells and sun sensors."
BEVO 1,bevo-1,https://www.nanosats.eu/sat/bevo-1.html,2009-07-15,Reentry 2010-03-17. No signal.,"Reentered, No signal, Deployment failure",—,não,,,Failed to separate from Aggiesat-2.,University of Texas at Austin,US,3.5 kg,Educational space systems engineering and GPS receiver testing.
BEESAT-1,beesat-1,https://www.nanosats.eu/sat/beesat-1.html,2009-09-23,Operational (Anomaly preventing telemetry downlink in 2013 but recovered in 2024. Telemetry with data last received in SatNOGS on 2023-06-03 last checked on 2023-06-06. First pictures taken late 2024.),Operational,A(fraco) - câmera sem alvo declarado,não,"An anomaly occurred in 2013, preventing the downlink of telemetry until September 2024.
Over the past two months (2024-2025), the camera payload of BEESAT-1 has been successfully commissioned. While the attitude control is currently limited to manual use of the magnetorquers pending reaction wheel testing, some images could be captured and downloaded. In BEESAT-1's now over 15 years journey in space these are the first images and we look forward to capturing and sharing more in the future.
Images:
""First Light"": 2024-11-18 09:19 UTC
""Warsaw and Poland"": 2024-12-13 08:09 UTC
""Horizon above Spain"": 2024-12-21 10:15 UTC
""Hungary and Alps"": 2024-12-21 08:33 UTC
""Horizon above Eastern Europe"": 2024-12-24 07:21 UTC",https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/studops_beesat-cubesat-earthfromspace-activity-7284264624160399360-YhO3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,Technical University of Berlin,Germany,1U,Demonstrate CubeSat platform technologies and verification of reaction wheels.
